Frame Name;Identifier (hex);Period (ms);Size (Bytes);Frame Load (%); Frame Load FD(%); Latency (ms);4WD;4WS;ACU;ADAS;ADB;ANC;ATCU;ATCU_eDCT;AUDIOamp;AVM;BCM;BMS_12V;BSG;BSWL;BSWR;CPLC;DOP_RES;DOP_SECU;DOP_TCU;DSMU;DSU;DTOOL;EBA;ECM;EPKB;EPS;ESCL;EVAP;FrCamera;HECM;HEVC;HFM;HUD;HVAC;IDM;IVI;MagicFolding;MBL;METER;PBD;PSCU;RADAR;SceneRecorder;SCU;SONAR;TCU;USM;VADA;VDC;VSP;GW;;fixed routing
Connector number;;;;;;;1;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;8;;FD?
Connector FD number;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Max Frames Bridge;;;;;;;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
ATCU_A13;?;10;7;2.24;1.086;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ATCU_A3;?;10;8;2.416;1.13;0;R;;R;R;;;T;;;R;R;;;R;R;;;;;;;;;R;R;;;;R;;;;;;R;R;;;;;;R;R;;R;;R;;R;;;;0
ATCU_A5;?;10;7;2.24;1.086;0;R;;;R;;;T;;;R;R;;;;;;;;;;;;;R;R;;;;;;;;;;R;;;;R;;;;R;R;R;R;;R;R;;;;0
ATCU_A7;?;10;8;2.416;1.13;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;0
ATCU_A11;?;10;8;2.416;1.13;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
ATCU_95;?;100;8;0.2416;0.113;0;R;;;R;R;;T;;;R;R;;;;;;;;R;;;;;R;;;;;;;;;;;R;R;;R;R;R;;;;;R;R;;;R;R;;;0
ATCU_96;?;1000;5;0.01888;0.00998;0;;;;;;;T;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;R;;;R;;;;;;;;;;;;;;0
ATCU_eDCT_R1;?;10;8;2.416;1.13;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
ATCU_eDCT_R2;?;10;8;2.416;1.13;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
ATCU_eDCT_R4;?;10;8;2.416;1.13;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
ATCU_eDCT_110;?;100;7;0.224;0.1086;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
ATCU_eDCT_111;?;3000;3;0.00512;0.00303333;0;;;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;;;;;;;;;;;;;;0
AUDIOamp_118;?;200;2;0.068;0.0433;0;;;;;;;;;T;;R;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;;R;;;;;;;;0
AVM_A4;?;10;8;2.416;1.13;0;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
AVM_A8;?;10;4;1.712;0.954;0;;;;R;;;R;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;;;;;;;0
AVM_A5;?;100;8;0.2416;0.113;0;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
AVM_124;?;100;8;0.2416;0.113;0;;;;R;;;;;;T;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
